id,latin,family,category,origin,climate,common,tempmax_celsius,tempmin_celsius,ideallight,toleratedlight,watering,use,normalized_light_need,supports_direct_sun,supports_diffused_light,supports_bright_light,light_flexibility,indoor_use_score,temp_context_score,plant_group,direct_sun_min_h_day,direct_sun_max_h_day,preferred_shadow_min_h_day,preferred_shadow_max_h_day,lux_min,lux_max,humidity_min_percent,humidity_max_percent,soil_moisture_class_0_4,drought_tolerance_0_1,sun_center_h_day,sun_range_h_day,shadow_center_h_day,shadow_range_h_day,lux_center,lux_range,humidity_center_percent,humidity_range_percent,temp_preferred_min_c,temp_preferred_max_c,temp_preferred_center_c,temp_preferred_range_c,plant_variety_cluster,plant_cluster_label,plant_light_index,bridge_cluster_id,bridge_cluster_label
10,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Painted Princess,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
11,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Queen of Siam,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
12,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Jewel of India,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,shade_tolerant,0,1,1,1,2,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
13,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Patricia,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
14,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Green Lady,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
15,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Black Lance,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
16,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Silver Queen,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
17,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Rapsody in Green,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary; Secondary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
18,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Manila Pride,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
19,Agave verschaffeltii,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Blue Agave; Century plant,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
20,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Beauty,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,shade_tolerant,0,1,1,1,2,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
21,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Jubilee,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
22,Agave striata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Lilliput Agave; Century plant; Nana,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
23,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Abidjan,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
24,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Maria Chirstina,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Ground cover; Tertiary,shade_tolerant,0,1,1,1,2,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
25,Alocasia nebula Imperialis,Araceae,Other,Cultivar,Tropical humid,Elephant ear,28,15,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,high_light,1,0,1,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,60.0,90.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,75.0,30.0,15,28,21.5,13,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
26,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Isle,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
27,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Mary Ann,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
28,Allamanda nerifolia,Apocynaceae,Flower,Brazil,Tropical,Golden Trumpet,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Flower,high_light,1,0,0,2,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
29,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; BJ Freeman,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary; Secondary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
30,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Marguerita,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary; Secondary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
31,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Star,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Secondary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
32,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Silver Bay,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
33,Aspidistra elatior,Liliaceae,Foliage plant,China,Subtropical,Cast iron plant,28,8,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,bright_indirect,0,1,1,1,2,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,8,28,18.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
34,Anthurium superbum,Araceae,Anthurium,Ecuador,Tropical,Bronze Anthurium,28,18,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Colors / Forms; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
35,Caryota mitis,Palmae,Palm,India,Tropical,Fish tail palm,25,10,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,bright_indirect,0,1,1,1,1,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
36,Codiaeum petra,Euphorbiaceae,Foliage plant,Cultivar,Tropical,Croton,28,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,28,19.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
37,Cereus peruvianus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,Tree Cereus,35,5,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,35,20.0,30,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
38,Blechnum gibbum,Polypodiaceae,Fern,New Calidonia,Tropical humid,Miniature tree fern; Dwarf tree fern,30,10,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,4.0,0.1,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,10,30,20.0,20,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
39,Chamaedorea elegans,Arecaceae,Palm,Mexico,Tropical,Bella palm; Neanthebella palm; Dwarf palm; Parlor palm,28,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,5,28,16.5,23,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
40,Calathea veitchiana,Marantaceae,Foliage plant,Hybrid,Tropical,Medallion Calathea,25,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,bright_indirect,0,1,1,1,2,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
41,Calathea pictura Argentea,Marantaceae,Foliage plant,Cultivar,Tropical,Silver Calathea,25,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,bright_indirect,0,1,1,1,2,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
42,Bougainvillea,Nyctaginaceae,Flower,Cultivar,Tropical,Bougainvillia; Paper flower,32,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Colors / Forms; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,32,21.0,22,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
43,Chamaedorea seifrizii,Arecaceae,Palm,Mexico,Tropical,Bamboo palm; Reed Palm,30,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
44,Alocasia X amazonica,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,15,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
45,Anthurium X,Araceae,Anthurium,Cultivar,Tropical,Tailflower; Wax flower,22,18,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Flower; Table top; Tertiary,bright_indirect,0,1,1,1,1,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,22,20.0,4,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
46,Anthurium hookeri,Araceae,Anthurium,Guyana,Tropical humid,Bird nest Anthurium; Cabbage Anthurium,28,18,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
47,Cissus rhombifolia,Vitaceae,Hanging,Cultivar,Subtropical,Grape Ivy; Ellen Danica,28,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,10,28,19.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
48,Cereus peruvianus Monstrosus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,Monster cactus,35,5,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,35,20.0,30,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
49,Chamaedorea erumpens,Arecaceae,Palm,Honduras,Tropical,Bamboo palm,28,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,28,19.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
50,Calathea stromata,Marantaceae,Foliage plant,Brazil,Tropical,Stromante,25,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,bright_indirect,0,1,1,1,2,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
51,Codiaeum,Euphorbiaceae,Foliage plant,Cultivar,Tropical,Croton,28,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Secondary; Tertiary,high_light,1,0,0,2,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,28,19.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
52,Calathea rufibarba,Marantaceae,Foliage plant,Brazil,Tropical,Velvet Calathea,25,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,bright_indirect,0,1,1,1,2,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
53,Alocasias X Amazonica var,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,15,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
54,Crassula argentea,Crasssulaceae,Cactus And Succulent,South Africa,Subtropical arid,Jade Plant,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
